date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:10:11	70624/70624	---MCZ	200	added ('OK')	text/html	etag:W/%22612d21a6-113e0%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html	(from )
03:10:12	115/115	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jan%202022%2009:39:31%20GMT	https://stroyka-admin.html.themeforest.scompiler.ru/robots.txt		(from )
03:10:12	2919/2919	---M--	200	added ('OK')	image/png	etag:%22612d21af-b67%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/images/favicon.png	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/images/favicon.png	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:14	1309/1309	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21e8-51d%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/highlight.js/styles/github.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/highlight.js/styles/github.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:14	225873/225873	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21c9-37251%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/bootstrap/css/bootstrap.ltr.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/bootstrap/css/bootstrap.ltr.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:15	2937/2937	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21bf-b79%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/simplebar/simplebar.min.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/simplebar/simplebar.min.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:15	24743/24743	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21bd-60a7%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/quill/quill.snow.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/quill/quill.snow.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:15	12257/12257	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21c9-2fe1%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/air-datepicker/css/datepicker.min.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/air-datepicker/css/datepicker.min.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:16	14966/14966	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21ea-3a76%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/select2/css/select2.min.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/select2/css/select2.min.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
03:10:17	5694/5694	---MCZ	200	added ('OK')	text/css	etag:W/%22612d21ca-163e%22	https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/datatables/css/dataTables.bootstrap5.min.css	E:/admin/amdin/stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/vendor/datatables/css/dataTables.bootstrap5.min.css	(from https://stroyka-admin.html.themeforest.scompiler.ru/variants/ltr/index.html)
